object_id,title,period,type,material,description,dimensions,museum,location,detail_url,image_url,image_path,credit_line,accession_number,crawl_date,_culture,_findspot,_object_name_detail,_image_valid
As.7099,adze,,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_As-7099,https://media.britishmuseum.org/Repository/Documents/2025_12/31_13/3a9bac7e_4a8b_477d_ba54_b3c400d99a90/large_As_7099_1.jpg,,Found/Acquired: Yunnan (province),As.7099,2026-05-27,,Found/Acquired: Yunnan (province),adze,
"1979,1012.16",adze,,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1979-1012-16,,,Found/Acquired: Swabue,"1979,1012.16",2026-05-27,,Found/Acquired: Swabue,adze,False
"1979,1012.35",adze,,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1979-1012-35,,,Found/Acquired: Swabue,"1979,1012.35",2026-05-27,,Found/Acquired: Swabue,adze,False
"1979,1012.29",adze,,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1979-1012-29,,,Found/Acquired: Swabue,"1979,1012.29",2026-05-27,,Found/Acquired: Swabue,adze,False
"1979,1012.17",adze,,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1979-1012-17,,,Found/Acquired: Swabue,"1979,1012.17",2026-05-27,,Found/Acquired: Swabue,adze,False
"1979,1012.30",adze,,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1979-1012-30,,,Found/Acquired: Swabue,"1979,1012.30",2026-05-27,,Found/Acquired: Swabue,adze,False
"1979,1012.43",adze,,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1979-1012-43,,,Found/Acquired: Swabue,"1979,1012.43",2026-05-27,,Found/Acquired: Swabue,adze,False
"1979,1012.37",adze,,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1979-1012-37,,,Found/Acquired: Swabue,"1979,1012.37",2026-05-27,,Found/Acquired: Swabue,adze,False
"1979,1012.31",adze,,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1979-1012-31,,,Found/Acquired: Swabue,"1979,1012.31",2026-05-27,,Found/Acquired: Swabue,adze,False
"1979,1012.25",adze,,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1979-1012-25,,,Found/Acquired: Swabue,"1979,1012.25",2026-05-27,,Found/Acquired: Swabue,adze,False
"1926,1204.24",aeolipile,,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1926-1204-24,,,Found/Acquired: Tibet,"1926,1204.24",2026-05-27,,Found/Acquired: Tibet,aeolipile,False
"1936,1007.2",aeolipile,1901-1936,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1936-1007-2,,,Found/Acquired: Tibet,"1936,1007.2",2026-05-27,,Found/Acquired: Tibet,aeolipile,False
"1936,1007.5",aeolipile,,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1936-1007-5,,,Found/Acquired: Tibet,"1936,1007.5",2026-05-27,,Found/Acquired: Tibet,aeolipile,False
