name,uri,era
Qing dynasty (c. 1917),http://buct-kg.org/resource/period/Qing_dynasty_c_1917,Unknown
Qing dynasty (c. 2007),http://buct-kg.org/resource/period/Qing_dynasty_c_2007,Unknown
late 15th–early 16th century,http://buct-kg.org/resource/period/late_15th_early_16th_century,Unknown
Qing dynasty (c. 1905),http://buct-kg.org/resource/period/Qing_dynasty_c_1905,Unknown
Qing dynasty (c. 1892),http://buct-kg.org/resource/period/Qing_dynasty_c_1892,Unknown
Qing dynasty (c. 1983),http://buct-kg.org/resource/period/Qing_dynasty_c_1983,Unknown
Qing dynasty (c. 1988),http://buct-kg.org/resource/period/Qing_dynasty_c_1988,Unknown
Qing dynasty (c. 1909),http://buct-kg.org/resource/period/Qing_dynasty_c_1909,Unknown
late 20th century,http://buct-kg.org/resource/period/late_20th_century,Unknown
Qing dynasty (c. 1986),http://buct-kg.org/resource/period/Qing_dynasty_c_1986,Unknown
Qing dynasty (c. 1790),http://buct-kg.org/resource/period/Qing_dynasty_c_1790,Unknown
Qing dynasty (c. 1964),http://buct-kg.org/resource/period/Qing_dynasty_c_1964,Unknown
Qing dynasty (c. 1726),http://buct-kg.org/resource/period/Qing_dynasty_c_1726,Unknown
Qing dynasty (c. 1968),http://buct-kg.org/resource/period/Qing_dynasty_c_1968,Unknown
Qing dynasty (c. 1976),http://buct-kg.org/resource/period/Qing_dynasty_c_1976,Unknown
Qing dynasty (c. 1977),http://buct-kg.org/resource/period/Qing_dynasty_c_1977,Unknown
Qing dynasty (c. 1915),http://buct-kg.org/resource/period/Qing_dynasty_c_1915,Unknown
Qing dynasty (c. 1958),http://buct-kg.org/resource/period/Qing_dynasty_c_1958,Unknown
Qing dynasty (c. 1912),http://buct-kg.org/resource/period/Qing_dynasty_c_1912,Unknown
Qing dynasty (c. 1864),http://buct-kg.org/resource/period/Qing_dynasty_c_1864,Unknown
Qing dynasty (c. 1806),http://buct-kg.org/resource/period/Qing_dynasty_c_1806,Unknown
Qing dynasty (c. 1812),http://buct-kg.org/resource/period/Qing_dynasty_c_1812,Unknown
Qing dynasty (c. 1939),http://buct-kg.org/resource/period/Qing_dynasty_c_1939,Unknown
Qing dynasty (c. 1990),http://buct-kg.org/resource/period/Qing_dynasty_c_1990,Unknown
Cypro-Geometric,http://buct-kg.org/resource/period/Cypro_Geometric,Unknown
Qing dynasty (c. 1931),http://buct-kg.org/resource/period/Qing_dynasty_c_1931,Unknown
Qing dynasty (c. 1928),http://buct-kg.org/resource/period/Qing_dynasty_c_1928,Unknown
Qing dynasty (c. 1827),http://buct-kg.org/resource/period/Qing_dynasty_c_1827,Unknown
Qing dynasty (c. 1816),http://buct-kg.org/resource/period/Qing_dynasty_c_1816,Unknown
Qing dynasty (c. 1811),http://buct-kg.org/resource/period/Qing_dynasty_c_1811,Unknown
Qing dynasty (c. 1840),http://buct-kg.org/resource/period/Qing_dynasty_c_1840,Unknown
ca. early 20th century,http://buct-kg.org/resource/period/ca_early_20th_century,Unknown
late 20th or early 21st century,http://buct-kg.org/resource/period/late_20th_or_early_21st_century,Unknown
Qing dynasty (c. 1938),http://buct-kg.org/resource/period/Qing_dynasty_c_1938,Unknown
