object_id,aligned_period
209947,Qing dynasty (c. 2012)
224309,Qing dynasty (c. 2012)
222904,Qing dynasty (c. 2012)
218241,Qing dynasty (c. 2012)
209424,Qing dynasty (c. 2012)
218240,Qing dynasty (c. 2012)
210025,Qing dynasty (c. 2012)
224298,Qing dynasty (c. 2012)
218239,Qing dynasty (c. 2012)
218158,Qing dynasty (c. 2012)
210945,Qing dynasty (c. 2012)
210173,Qing dynasty (c. 2012)
210137,Qing dynasty (c. 2012)
220362,Qing dynasty (c. 2012)
214201,Qing dynasty (c. 2012)
212058,Qing dynasty (c. 2012)
210174,Qing dynasty (c. 2012)
218009,Qing dynasty (c. 2012)
212059,Qing dynasty (c. 2012)
213879,Qing dynasty (c. 2012)
214447,Qing dynasty (c. 2012)
219272,Qing dynasty (c. 2012)
226393,Qing dynasty (c. 2012)
208971,Qing dynasty (c. 2012)
225805,Qing dynasty (c. 2012)
226104,Qing dynasty (c. 2012)
215069,Qing dynasty (c. 2012)
225609,Qing dynasty (c. 2012)
210175,Qing dynasty (c. 2012)
225869,Qing dynasty (c. 2012)
226390,Qing dynasty (c. 2012)
224833,Qing dynasty (c. 2014)
219309,Qing dynasty (c. 2012)
218230,Qing dynasty (c. 2012)
219199,Qing dynasty (c. 2012)
225735,Qing dynasty (c. 2012)
225736,Qing dynasty (c. 2012)
227099,Qing dynasty (c. 2012)
210628,Qing dynasty (c. 2012)
225732,Qing dynasty (c. 2012)
225283,Qing dynasty (c. 2012)
210944,Qing dynasty (c. 2012)
225624,Qing dynasty (c. 2012)
210182,Qing dynasty (c. 2012)
226392,Qing dynasty (c. 2012)
218242,Qing dynasty (c. 2012)
210172,Qing dynasty (c. 2011)
197576,Qing dynasty (c. 2011)
210798,Qing dynasty (c. 2011)
218605,Qing dynasty (c. 2011)
210219,Qing dynasty (c. 2011)
213589,Qing dynasty (c. 2011)
198904,Qing dynasty (c. 2011)
210216,Qing dynasty (c. 2011)
212821,Qing dynasty (c. 2011)
212823,Qing dynasty (c. 2011)
213181,Qing dynasty (c. 2011)
212824,Qing dynasty (c. 2011)
210217,Qing dynasty (c. 2011)
210545,Qing dynasty (c. 2011)
197577,Qing dynasty (c. 2011)
207864,Qing dynasty (c. 2011)
210212,Qing dynasty (c. 2011)
224285,Qing dynasty (c. 2011)
210427,Qing dynasty (c. 2011)
210193,Qing dynasty (c. 2011)
210218,Qing dynasty (c. 2011)
217071,Qing dynasty (c. 2011)
218229,Qing dynasty (c. 2011)
210267,Qing dynasty (c. 2011)
210215,Qing dynasty (c. 2011)
220467,Qing dynasty (c. 2011)
224255,Qing dynasty (c. 2011)
210176,Qing dynasty (c. 2011)
198916,Qing dynasty (c. 1989)
208767,Qing dynasty (c. 2011)
210213,Qing dynasty (c. 2011)
198903,Qing dynasty (c. 2011)
210276,Qing dynasty (c. 2011)
212825,Qing dynasty (c. 2011)
217070,Qing dynasty (c. 2011)
220466,Qing dynasty (c. 2011)
225657,Qing dynasty (c. 2011)
25247,Qing dynasty (c. 1644)
4942,Qing dynasty (c. 1876)
15010,Qing dynasty (c. 1820)
7111,Qing dynasty (c. 1879)
15014,Qing dynasty (c. 1815)
143675,Qing dynasty (c. 1980)
15012,Qing dynasty (c. 1820)
220492,Qing dynasty (c. 1945)
139465,Qing dynasty (c. 1891)
19935,Qing dynasty (c. 1858)
73995,Qing dynasty (c. 1893)
22746,Qing dynasty (c. 1957)
20000,Qing dynasty (c. 1857)
138054,Qing dynasty (c. 1858)
227552,Qing dynasty (c. 1843)
198854,Qing dynasty (c. 2008)
60915,Qing dynasty (c. 1644)
189775,Qing dynasty (c. 1716)
48,Qing dynasty (c. 1878)
15033,Qing dynasty (c. 1820)
14447,Qing dynasty (c. 1858)
119371,Qing dynasty (c. 1971)
199136,Qing dynasty (c. 1932)
32740,未注明日期
188274,Qing dynasty (c. 1993)
147872,Qing dynasty (c. 1894)
75330,Qing dynasty (c. 1644)
121044,Qing dynasty (c. 1940)
65,Qing dynasty (c. 1878)
139460,Qing dynasty (c. 1891)
139562,Qing dynasty (c. 1893)
48846,Qing dynasty (c. 1882)
266210,Qing dynasty (c. 1770)
101573,Qing dynasty (c. 1946)
109169,Qing dynasty (c. 1858)
194369,Qing dynasty (c. 1982)
