object_id,aligned_material
276595,Silver
47283,Gold
277820,Porcelain
259161,Bone
259163,Bone
259164,Bone
259165,Bone
259166,Bone
259172,Bone
259175,Bone
259176,Bone
259177,Bone
259173,Bone
75310,Earthenware
105937,Earthenware
21521,Porcelain
37722,Earthenware
21549,Stoneware
70045,Jade
70330,Jade
22671,Ivory
21585,Stoneware
21591,Stoneware
8064,Paper
69638,Jade
69744,Jade
117554,Ink
17305,Porcelain
20435,Ivory
73230,Stoneware
75903,Stoneware
186741,Ivory
233321,Wood
36691,Wood
111140,Earthenware
21274,Porcelain
21397,Earthenware
76243,Porcelain
32539,Bronze
21252,Ivory
21692,Porcelain
70205,Jade
68697,Jade
5833,Gold
75946,Stoneware
152839,Porcelain
182989,Wood
186728,Ivory
78836,Paper
139230,Ivory
58156,Bronze
8084,Ivory
106598,Ivory
12748,Porcelain
25999,Porcelain
182862,Wood
48982,Earthenware
31935,Silver
71015,Jade
76275,Ink
73239,Stoneware
68731,Jade
236098,Porcelain
58340,Ink
86750,Bronze
70191,Jade
158104,Stoneware
186735,Ivory
49817,Ivory
42386,Porcelain
69572,Jade
180532,Earthenware
10495,Cotton
111367,Paper
42112,Porcelain
259159,Bone
259160,Bone
279375,Earthenware
21629,Porcelain
9819,Porcelain
12077,Bronze
79492,Paper
21518,Stoneware
33945,Earthenware
86418,Bronze
68868,Jade
120578,Bronze
72791,Silk
36825,Ivory
21632,Stoneware
11094,Limestone
69506,Jade
86491,Bronze
22490,Bronze
7791,Porcelain
12248,Paper
8986,Porcelain
129408,Paper
16393,Bronze
56801,Porcelain
58900,Stoneware
159683,Porcelain
7419,Ivory
83673,Paper
3588,Porcelain
42213,Stoneware
21604,Stoneware
69812,Jade
13455,Ink
86661,Bronze
62536,Gold
45668,Paper
20434,Ivory
21430,Earthenware
23500,Bone
43097,Bronze
69931,Jade
180135,Bronze
182865,Wood
40558,Ink
65904,Wood
153627,Silk
79326,Ivory
117596,Ivory
79507,Ink
75317,Ink
84123,Ink
150406,Silk
42195,Stoneware
53535,Stoneware
69752,Jade
21683,Porcelain
21125,Nephrite
20635,Bronze
193002,
7782,Porcelain
12509,Porcelain
28161,Bronze
12896,Paper
12672,Porcelain
70006,Stoneware
69008,Jade
80239,Ivory
61041,Wood
42440,Porcelain
17459,Porcelain
64836,Porcelain
147469,Silk
2514,Porcelain
68754,Jade
70680,Jade
25640,Porcelain
12317,Ink
11703,Copper
22899,Paper
22865,Porcelain
80914,Porcelain
83677,Paper
49798,Ivory
31202,Porcelain
26953,Porcelain
55213,Bronze
53194,Silver
22075,
131979,Ivory
186751,Ivory
80377,Limestone
35957,Gold
109503,Paper
57654,Earthenware
62583,Glass
36798,Paper
17244,Ivory
28350,Porcelain
180725,Wood
83022,Ivory
230189,Silk
53276,Bronze
69558,Jade
72380,Silk
15579,Earthenware
7843,Porcelain
65892,Porcelain
68898,Jade
193050,Earthenware
160040,Paper
58904,Porcelain
21731,Stoneware
58116,Porcelain
9579,Ivory
12165,Earthenware
68840,Jade
111364,Paper
45433,Ivory
21457,Porcelain
42836,Porcelain
69719,Jade
68941,Jade
69324,Jade
105549,Bronze
193334,Ink
13451,Ink
186779,Ivory
147883,Porcelain
193025,Stoneware
55833,Bronze
10244,Paper
43942,Paper
21806,Stoneware
24113,Silver
60348,Bronze
104305,Ivory
79585,Ivory
147623,Ivory
21648,Stoneware
27659,Porcelain
69574,Jade
7649,Paper
49406,Paper
12543,Stoneware
180200,Porcelain
148422,Cotton
3316,Bronze
189161,Ink
49843,Ivory
21662,Stoneware
53279,Bronze
60339,Bronze
55848,Gold
20349,Paper
79219,Paper
69961,Jade
73244,Stoneware
105529,Stoneware
159686,Stoneware
51502,Ivory
21323,Porcelain
21524,Porcelain
69798,Jade
69343,Jade
70693,Jade
7951,Ivory
79435,Paper
80720,Silk
35955,Ivory
27580,Porcelain
69639,Jade
70229,Jade
69576,Jade
106589,Ivory
109039,Ivory
12608,Porcelain
89465,Bronze
28203,Porcelain
69355,Jade
44101,Ivory
42262,Stoneware
86387,Bronze
186765,Ivory
21205,Porcelain
75920,Stoneware
80215,Ink
22905,Ivory
70018,Jade
68837,Gold
39385,Paper
42411,Stoneware
69980,Jade
88202,Stoneware
45424,Porcelain
70238,Jade
195395,Porcelain
17769,Paper
49616,Paper
79310,Ink
45912,Ivory
149892,Wood
14441,Paper
135794,Wood
69152,Jade
82306,Oil
42460,Porcelain
21616,Stoneware
68700,Jade
