object_id,title,description,dimensions,accession_number,detail_url,image_url,aligned_period,aligned_type,aligned_material,data_quality_score
69133,San Francisco,,,x1980-2384,https://artmuseum.princeton.edu/art/collections/69133,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03192,Qing dynasty (c. 1950),Unknown,Silver,0.65
69130,San Francisco,,,x1980-2381,https://artmuseum.princeton.edu/art/collections/69130,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03198,Qing dynasty (c. 1950),Unknown,Silver,0.65
69128,San Francisco,,,x1980-2379,https://artmuseum.princeton.edu/art/collections/69128,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03202,Qing dynasty (c. 1950),Unknown,Silver,0.65
69125,San Francisco,,,x1980-2376,https://artmuseum.princeton.edu/art/collections/69125,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03208,Qing dynasty (c. 1950),Unknown,Silver,0.65
69121,"The Don and Joan Bronson House, Oakland, California",,,x1980-2822,https://artmuseum.princeton.edu/art/collections/69121,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03149,Qing dynasty (c. 1951),Unknown,Silver,0.65
69112,"Gene Cornelius, San Francisco",,,x1980-2814,https://artmuseum.princeton.edu/art/collections/69112,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03158,Qing dynasty (c. 1951),Unknown,Silver,0.65
69109,Portrait of a man,,,x1980-2804,https://artmuseum.princeton.edu/art/collections/69109,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03161,Qing dynasty (c. 1951),Unknown,Silver,0.65
69106,Portrait of a man,,,x1980-2801,https://artmuseum.princeton.edu/art/collections/69106,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03164,Qing dynasty (c. 1951),Unknown,Silver,0.65
69104,Portrait of a man,,,x1980-2799,https://artmuseum.princeton.edu/art/collections/69104,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03166,Qing dynasty (c. 1951),Unknown,Silver,0.65
69097,Portrait of a man,,,x1980-2811,https://artmuseum.princeton.edu/art/collections/69097,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03133,Qing dynasty (c. 1951),Unknown,Silver,0.65
69084,San Francisco,,,x1980-2373,https://artmuseum.princeton.edu/art/collections/69084,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03092,Qing dynasty (c. 1950),Unknown,Silver,0.65
69079,San Francisco,,,x1980-2368,https://artmuseum.princeton.edu/art/collections/69079,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03102,Qing dynasty (c. 1950),Unknown,Silver,0.65
69078,San Francisco,,,x1980-2367,https://artmuseum.princeton.edu/art/collections/69078,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03104,Qing dynasty (c. 1950),Unknown,Silver,0.65
69072,San Francisco,,,x1980-2361,https://artmuseum.princeton.edu/art/collections/69072,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03116,Qing dynasty (c. 1950),Unknown,Silver,0.65
69071,San Francisco,,,x1980-2360,https://artmuseum.princeton.edu/art/collections/69071,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03118,Qing dynasty (c. 1950),Unknown,Silver,0.65
